synonym,name,hp_id
Liver fibrosis,Portal fibrosis,HP_0006580
Hepatic fibrosis,Portal fibrosis,HP_0006580
Portal tract fibrosis,Portal fibrosis,HP_0006580
Fibrosis of the liver,Portal fibrosis,HP_0006580
Fibrotic liver disease,Portal fibrosis,HP_0006580
FXIII A deficiency,Factor XIII subunit A deficiency,HP_0040233
Factor 13A deficiency,Factor XIII subunit A deficiency,HP_0040233
Coagulation factor XIII A chain deficiency,Factor XIII subunit A deficiency,HP_0040233
Fibrin stabilizing factor A subunit deficiency,Factor XIII subunit A deficiency,HP_0040233
Factor XIII-A deficiency,Factor XIII subunit A deficiency,HP_0040233
Total Anomalous Pulmonary Venous Return,Cardiac total anomalous pulmonary venous connection,HP_0011720
Total Anomalous Pulmonary Venous Drainage,Cardiac total anomalous pulmonary venous connection,HP_0011720
Total Anomalous Pulmonary Venous Connection to the Heart,Cardiac total anomalous pulmonary venous connection,HP_0011720
Complete Anomalous Pulmonary Venous Connection,Cardiac total anomalous pulmonary venous connection,HP_0011720
Total Anomalous Pulmonary Venous Connection Disorder,Cardiac total anomalous pulmonary venous connection,HP_0011720
Metatarsal bone dissolution,Metatarsal osteolysis,HP_0001473
Metatarsal bone resorption,Metatarsal osteolysis,HP_0001473
Osteolysis of metatarsal bones,Metatarsal osteolysis,HP_0001473
Metatarsal bone degeneration,Metatarsal osteolysis,HP_0001473
Dissolution of metatarsal bones,Metatarsal osteolysis,HP_0001473
Bracket-shaped epiphysis of the proximal phalanx of the third finger,Bracket epiphysis of the proximal phalanx of the 3rd finger,HP_0009347
Abnormal epiphysis of the proximal phalanx of the 3rd digit,Bracket epiphysis of the proximal phalanx of the 3rd finger,HP_0009347
Bracket epiphysis of the proximal bone segment of the third finger,Bracket epiphysis of the proximal phalanx of the 3rd finger,HP_0009347
Bracket-shaped end of the proximal phalanx of the 3rd finger,Bracket epiphysis of the proximal phalanx of the 3rd finger,HP_0009347
Abnormal growth plate of the proximal phalanx of the third finger,Bracket epiphysis of the proximal phalanx of the 3rd finger,HP_0009347
Curvature of the distal tibia,Distal tibial bowing,HP_0006414
Bowing of the lower tibia,Distal tibial bowing,HP_0006414
Distal tibial curvature,Distal tibial bowing,HP_0006414
Lower tibial bowing,Distal tibial bowing,HP_0006414
Bent distal tibia,Distal tibial bowing,HP_0006414
Abnormal posterior pituitary location,Ectopic posterior pituitary,HP_0011755
Misplaced posterior pituitary,Ectopic posterior pituitary,HP_0011755
Dislocated posterior pituitary,Ectopic posterior pituitary,HP_0011755
Erroneously positioned posterior pituitary,Ectopic posterior pituitary,HP_0011755
Posterior pituitary in incorrect location,Ectopic posterior pituitary,HP_0011755
Close esotropia,Near esotropia,HP_0031722
Proximate esotropia,Near esotropia,HP_0031722
Adjacent esotropia,Near esotropia,HP_0031722
Immediate esotropia,Near esotropia,HP_0031722
Neighboring esotropia,Near esotropia,HP_0031722
Underdevelopment/absence of the spinal column,Aplasia/Hypoplasia involving the vertebral column,HP_0008518
Vertebral column aplasia/hypoplasia,Aplasia/Hypoplasia involving the vertebral column,HP_0008518
Spine aplasia or hypoplasia,Aplasia/Hypoplasia involving the vertebral column,HP_0008518
Underdeveloped or absent vertebral column,Aplasia/Hypoplasia involving the vertebral column,HP_0008518
Aplasia or hypoplasia of the spine,Aplasia/Hypoplasia involving the vertebral column,HP_0008518
Advancing peripheral muscle weakness,Progressive distal muscle weakness,HP_0009063
Gradual weakening of distal muscles,Progressive distal muscle weakness,HP_0009063
Progressive weakening of outer muscles,Progressive distal muscle weakness,HP_0009063
Continual distal muscle fatigue,Progressive distal muscle weakness,HP_0009063
Ongoing weakness in extremity muscles,Progressive distal muscle weakness,HP_0009063
Rough hair,Coarse hair,HP_0002208
Thick hair,Coarse hair,HP_0002208
Unrefined hair,Coarse hair,HP_0002208
Crude hair,Coarse hair,HP_0002208
Brutish hair,Coarse hair,HP_0002208
Bedsores,Pressure ulcer,HP_0012399
Decubitus ulcers,Pressure ulcer,HP_0012399
Pressure sores,Pressure ulcer,HP_0012399
Skin ulcers,Pressure ulcer,HP_0012399
