hp_id,synonym,typo
HP_0000002,Abnormality of body height,Abcnrmality of bodyheivhm
HP_0000003,Multicystic kidney dysplasia,Mutliiycstic kidne dysplasii
HP_0000003,Multicystic dysplastic kidney,uMltzcystic dysplasit kideny
HP_0000003,Multicystic kidneys,Multicystci kidnecsz
HP_0000003,Multicystic renal dysplasia,Muultiystic renal dysplatsia
HP_0000008,Abnormal morphology of female internal genitalia,Abonrmal vmorphoglogyp f femqale ijnterfaxl genitalia
HP_0000008,Abnormality of female internal genitalia,Abrorality of efmale interall geniatlgia
HP_0000009,Functional abnormality of the bladder,Functionial aznorality o pthesbladdcr
HP_0000009,Poor bladder function,Polor bladdqer funcetion
HP_0000010,Recurrent urinary tract infections,mRecurrent urinary eractiefcsions
HP_0000010,Frequent urinary tract infections,Frewuent urinary lrtawn infections
HP_0000010,Recurrent UTIs,Recurrenwt UTs
HP_0000010,Repeated bladder infections,Repexted bladdec inefctibos
HP_0000010,Repeated urinary tract infections,epeatewd ufinary rtact infactionse
HP_0000010,Urinary tract infections,Urinary tracr ibnfetoins
HP_0000010,"Urinary tract infections, recurrent","jhianryi tract infectiosn, rceubrent"
HP_0000011,Neurogenic bladder,Neuhrogenik blradder
HP_0000011,Lack of bladder control due to nervous system injury,iack ofl blaed rcontrolb due to nkrvous sjstem finjry
HP_0000012,Urinary urgency,kUriwkary urgency
HP_0000012,Overactive bladder,pvearactiev bladder
HP_0000012,Overactive bladder syndrome,Overactive bladder enyrdoms
HP_0000012,Urgency frequency syndrome,Uregncyf erquency synodome
HP_0000013,Hypoplasia of the uterus,Hlpoplasia if the uteru
HP_0000013,Hypoplastic uterus,Hyoplastic uteurs
HP_0000013,Rudimentary uterus,Rdientaryouterus
HP_0000013,Small uterus,Scmall uterus
HP_0000013,Underdeveloped uterus,Undegeveloed tuerus
HP_0000015,Bladder diverticulum,lBadder ijdvertcculum
HP_0000015,Bladder diverticula,Bladderd ivertfiucla
HP_0000016,Urinary retention,Urinarqyh renention
HP_0000016,Increased post-void residual urine volume,Inreasd opst-voidlesidual uerne voeume
HP_0000017,Nocturia,Noctria
HP_0000017,Nycturia,Nycturisa
HP_0000019,Urinary hesitancy,Urianryzhsitancy
HP_0000019,Difficulty with flow,Dtfficulty with fojow
HP_0000020,Urinary incontinence,Urxnry incontinnecu
HP_0000020,Bladder incontinence,lBadder icontinenbc
HP_0000020,Loss of bladder control,Lss forblawder control
HP_0000024,Prostatitis,Prostrtiiis
HP_0000024,Inflammation of the prostate,Inflgmmation fz the prostaqte
HP_0000026,Male hypogonadism,Male hypogondaism
HP_0000026,Decreased function of male gonad,Dccrease dfunctionb of male gxand
HP_0000027,Azoospermia,Azoosprmi
HP_0000027,Absent sperm in semen,Awsent sparm in semen
HP_0000028,Cryptorchidism,Crrptowchidism
HP_0000028,Cryptorchism,Cryptohism
HP_0000028,Undescended testes,Undescendje teastes
HP_0000028,Undescended testis,Undescendez eestjis
HP_0000029,Testicular atrophy,Tesitular atrophy
HP_0000029,Testicular degeneration,Testciular degeenraiionb
HP_0000030,Testicular gonadoblastoma,Teficulargyonddoblastoma
HP_0000030,"Gonadoblastoma, male","Gonadobwasujtoma, male"
HP_0000032,Abnormal male external genitalia morphology,Asbnojrmal male externla genditnila omrphology
HP_0000032,Abnormality of male external genitalia,Abnormalit yof maleiextcrnal genitalia
HP_0000033,"Ambiguous genitalia, male","Ambigupus heniltia, malb"
HP_0000033,Ambiguous genitalia in males,Aobiguousg enitalia in mekls
HP_0000034,Hydrocele testis,Hydroceelfztestis
HP_0000034,Hydrocele,Hfydrocele
HP_0000034,Testicular hydrocele,Testicular yhmdrocelje
HP_0000035,Abnormal testis morphology,Abnomraltestis mophology
HP_0000035,Abnormality of the testis,bAnjormallity of thet estihs
HP_0000035,Anomaly of the testes,Anomaly of th teses
HP_0000036,Abnormal penis morphology,Abnvmal pxensi morphjology
HP_0000036,Abnormality of the penis,Abnormali of the pecnip
HP_0000040,Long penis,Longp enijs
HP_0000040,Enlarged penis,Ennlared penis
HP_0000042,Absent external genitalia,Abent externaggenialia
HP_0000044,Hypogonadotropic hypogonadism,Hypogonadoteopic hypgoovandim
HP_0000044,Hypogonadotrophic hypogonadism,Hypogonadoptorphc hypovoandism
HP_0000044,Low gonadotropins (secondary hypogonadism),Low gnadotropins (eecondmary hypogoadsim)
HP_0000044,Isolated hypogonadotropic hypogonadism,Isolteedhypodoandotric hypogonadism
HP_0000045,Abnormal scrotum morphology,Awnlormal scrotmu omrphoyogy
HP_0000045,Abnormality of the scrotum,Aibqnoamlity of thesscrotum
HP_0000046,Small scrotum,Smallsrotum
HP_0000046,Hypoplastic scrotum,Hypoplastic rscrqtm
HP_0000046,Scrotal hypoplasia,Sxrotal hppolasia
HP_0000046,Smaller than typical growth of scrotum,mSalcer than ztyicalgrowth of scrotm
HP_0000046,Underdeveloped scrotum,yUnderdqveelopde scrotum
HP_0000047,Hypospadias,Hipospadias
HP_0000047,Hypospadia,Hpyospdaia
HP_0000048,Bifid scrotum,Bifiw sctrotum
HP_0000048,Cleft of scrotum,Cleft of sccyrtoum
HP_0000048,Scrotal cleft,Scrgtal csleft
HP_0000049,Shawl scrotum,Shabl srotum
HP_0000049,Overriding scrotum,Overrdign scrotmu
HP_0000049,Scrotum surrounds penis,Scrotu surroundslpebis
HP_0000050,Hypoplastic male external genitalia,Hypoplsatic ale externl geintalhia
HP_0000050,Hypoplastic male genitalia,Hyoplatsci mal geitalia
HP_0000050,Small male external genitalia,mall male extenral genitrjla
HP_0000050,Underdeveloped male genitalia,ondrdevelomped maleg enitaliab
HP_0000053,Macroorchidism,Macoorhcidism
HP_0000053,Large testicles,Lrage jtestirles
HP_0000053,Large testis,Largezgtestis
HP_0000054,Micropenis,Miccropeins
HP_0000054,Short penis,Shor pnis
HP_0000054,Small penis,Smlal penic
HP_0000055,Abnormal female external genitalia morphology,Abnrmal alz extrnal gnnitalia morpolgy
HP_0000055,Abnormal female external genitalia,Abnormalafemal eexternlalgenitoasia
HP_0000055,Abnormality of female external genitalia,Abnamailty x ffemale qetrnal genitalia
HP_0000056,Abnormal clitoris morphology,bnormax litorisj moarphology
HP_0000056,Abnormality of the clit,dbonrmali tyof the clit
HP_0000056,Abnormality of the clitoris,Abnoramlitry of thg tclitorxs
HP_0000058,Abnormal labia morphology,Anourwmal labeia morpcology
HP_0000058,Abnormality of the labia,iebnowmaliby of the labia
HP_0000059,Hypoplastic labia majora,Hyoplastic labxa mjora
HP_0000059,Hypoplasia of labia majora,Hypoulasia of labi mapjora
HP_0000059,Small labia majora,Smalsl labia mpaora
HP_0000059,Underdeveloped vaginal lips,Underevelopd vaginal lps
