query_name,hp_desc,hp_id,score
Type II atherosclertic lesion,Autosomal dominant type,HP_0000006,
Focl aware non-motor seizure,Ocular motor apraxia,HP_0000657,
Decreased osteoclast cunt,Decreased function of male gonad,HP_0000026,
Absent proximal finger flexio creases,Absent sperm in semen,HP_0000027,
Marginal ubilical cord insertion,Broad alveolar margins,HP_0000187,
Abnormality of the radal head,Abnormality of body height,HP_0000002,
Maculardrusen,,,-1.0
obsolete Finger joint hyprextensibility,obsolete Clitoromegaly,HP_0000057,
Distance esotrpia,Increased distance between eye sockets,HP_0000316,
Fibular deviation of the3rd toe,Globe retraction and deviation on abduction,HP_0000497,
ypocalcemic tetany,Tetany,HP_0001281,
Abnormal conjunctiv morphology,Abnormality of body height,HP_0000002,
Impaired von Willebrnd factor collagen binding activity,Decreased activity of gonads,HP_0000135,
Circlating immune complexes,EEG with irregular generalized spike and wave complexes,HP_0001326,
Epieptic aura,Migraine with aura,HP_0002077,
Delayed elbow epipyseal ossification,Delayed cranial suture closure,HP_0000270,
Bicarbonate-wasting rena tubular acidosis,Renal tubular atrophy,HP_0000092,
Pelvic bone asymetry,Pelvic kidney,HP_0000125,
Interlobular intima/meia venosclerosis,Interlobular bile duct destruction,HP_0025344,
Increasedlevel of allantoin in serum,Elevated serum gonadotropins,HP_0000837,
Absnt lunula,Absent lunula,HP_0030805,
Abnorality of the umbilical cord,Brain and/or spinal cord issue,HP_0000707,
Ventriclar bigeminy,Ventricular bigeminy,HP_0034306,
Rubeosis iridi,Heterochromia iridis,HP_0001100,
Persistent reetition of sounds,Persistent wide fontanel,HP_0000239,
Scal tenderness,Nipple tenderness,HP_0020226,
Abnrmal tricuspid chordae tendinae morphology,Abnormal morphology of female internal genitalia,HP_0000008,
Erythrodonia,,,-1.0
Fetalnuchal edema,Facial edema,HP_0000282,
eformed sella turcica,Abnormal sella turcica morphology,HP_0002679,
Seeaw nystagmus,Nystagmus,HP_0000639,
Abnormal P50/N95 ratio of pattern elctroretinogram,Abnormality of body height,HP_0000002,
Hperuricemia,,,-1.0
Fronal lobe dementia,Abnormal lobe of ear,HP_0000363,
Fractured proximal phalanx of manal digit 1,Proximal tubulopathy,HP_0000114,
Collctionism,,,-1.0
Hypersonia,,,-1.0
Curved distal phalanx of te 5th toe,Abnormal curving of the cornea or lens of the eye,HP_0000483,
Focal white atter lesions,Focal segmental glomerulosclerosis,HP_0000097,
Fetal barbiturate exosure,Persistent fetal fingertip pads,HP_0001212,
Anti-GT1a IG antibody positivity,External ear position defect,HP_0000357,
Aopecia,,,-1.0
Bilateral cleft lip ad palate,Cleft of scrotum,HP_0000048,
Dysmyelinaing leukodystrophy,Leukodystrophy,HP_0002415,
Decreased lucosephosphate isomerase level,Decreased function of male gonad,HP_0000026,
Transversefacial cleft,Cleft of scrotum,HP_0000048,
Increasd CSF glutamate concentration,Elevated circulating growth hormone concentration,HP_0000845,
Fveal hyperpigmentation,Hyperpigmentation of the skin,HP_0000953,
EEG with spike-wave complexes(2.5-3.5 Hz),EEG with irregular generalized spike and wave complexes,HP_0001326,
Thin zona pellucia,Thin upper lip vermilion,HP_0000219,
Paroxysmal recta pain,Pain of muscles of mastication,HP_0000211,
Decreasedcirculating gonadotropin concentration,Low gonadotropins (secondary hypogonadism),HP_0000044,
Exramedullary hematopoiesis,Extramedullary hematopoiesis,HP_0001978,
Recurrent gastroeteritis,Recurrent urinary tract infections,HP_0000010,
Calcifcation of falx cerebri,Pseudotumor cerebri,HP_0002516,
Abnormal blood oxygen evel,Abnormality of body height,HP_0000002,
Posterir pituitary hypoplasia,Hypoplasia of the uterus,HP_0000013,
Diffuse xonal swelling,Swelling of ureter,HP_0000072,
Low-grad fever,Low gonadotropins (secondary hypogonadism),HP_0000044,
Anti-Lrp4 antibody positivty,Neutropenia in presence of anti-neutropil antibodies,HP_0001904,
Mitral stenoss,Abnormal mitral valve morphology,HP_0001633,
Absent crotum,Absent sperm in semen,HP_0000027,
Increased uscle glycogen content,Increased post-void residual urine volume,HP_0000016,
Kertoglobus,,,-1.0
Prosate cancer,Blood cancer,HP_0001909,
Anginapectoris,,,-1.0
Mirographia,,,-1.0
Vertebral artery ortuosity,Abnormal retinal artery morphology,HP_0000630,
Abnormal hear rate variability,Abnormality of body height,HP_0000002,
Abnormal dense tubular syste,Abnormality of body height,HP_0000002,
Sebaceous hyperplasi,Hypoplastic-absent sebaceous glands,HP_0007411,
Tessier numbe 2 facial cleft,Cleft of scrotum,HP_0000048,
Eythroid hypoplasia,Hypoplasia of the uterus,HP_0000013,
Hippocampal sclerois,Hippocampal dysgenesis,HP_0025101,
Decreased level of coenzyme Q10 in skeletalmuscle,Decreased function of male gonad,HP_0000026,
Perifscicular muscle fiber atrophy,Testicular atrophy,HP_0000029,
Conenital stationary night blindness with normal fundus,Blue yellow color blindness,HP_0000552,
Esophgeal hemangioma,Facial hemangioma,HP_0000329,
Decreased naal nitric oxide,Decreased function of male gonad,HP_0000026,
Chronc myelogenous leukemia,Leukemia,HP_0001909,
Abnormal cardiomyocyte mitochondrial mophology,Abnormality of body height,HP_0000002,
levated erythrocyte sedimentation rate,Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate,HP_0000117,
Intralobar nephroblasomatosis,Intralobar sequestration,HP_0010961,
Abnormal asal skeleton morphology,Abnormality of body height,HP_0000002,
Abnormalityof neutrophil physiology,Abnormality of reproductive system physiology,HP_0000080,
Curved dista phalanx of the 4th finger,Abnormal curving of the cornea or lens of the eye,HP_0000483,
Lymph-node hemphagocytosis,Swelling caused by excess lymph fluid under skin,HP_0001004,
Triangular piphyses of the 2nd finger,Triangular mouth,HP_0000207,
Decreased ativity of mitochondrial complex IV,Decreased function of male gonad,HP_0000026,
Talipes valgu,Talipes equinovarus,HP_0001762,
Anomalous origin of the right subclavian artery frm the descending aorta,Asymmetry of right and left side of face,HP_0000324,
Sclerotic radial epphyses,Sclerotic scapulae,HP_0001474,
Stippled clcification of the humeral epiphyses,Stippled pigmentation,HP_0001070,
Shiveing,,,-1.0
Pinhole visual acuity 3.0 LgMAR,Visual impairment,HP_0000505,
Severe sensorineural hearingimpairment,Severe periodontitis,HP_0000166,
Absent middle phalanx of th finger,Absent sperm in semen,HP_0000027,
Triangular shaped phalanges of the han,Triangular mouth,HP_0000207,
Anal stenosi,Ureteral stenosis,HP_0000071,
Mediastinal ass,Mediastinal teratoma,HP_0030741,
Episodic ammonia ntoxication,Multiple episodes of otitis media,HP_0000403,
3- toe syndactyly,Short fingers or toes,HP_0001156,
