query_name,hp_desc,hp_id,score
Decreased diameter of pharynx,Decreased diameter of pharynx,HP_0009555,23.68498493832905
Generalised spacing of primary teeth,Generalised spacing of primary teeth,HP_0006313,22.01272125121679
Hypertrophy of upper jaw,Hypertrophy of upper jaw,HP_0430028,20.314848761367955
Blue/yellow colour vision defect,Blue/yellow colour vision defect,HP_0000552,25.83615835646867
Muscle fiber degeneration,Muscle fiber degeneration,HP_0100295,20.358925627628548
Ectopic atrial tachycardia,Ectopic atrial tachycardia,HP_0011701,26.42241427768367
Decreased postbronchodilator forced vital capacity,Decreased postbronchodilator forced vital capacity,HP_0032357,28.149907183156643
Laterally elongated eyebrow,Laterally elongated eyebrow,HP_0011230,24.08473917993564
Hepatic anomalous lobulation,Hepatic anomalous lobulation,HP_0100752,26.652533148146304
Abnormality of the primary palate bone,Abnormality of the primary palate bone,HP_0010758,16.98423735734258
Extra wrist bones,Extra wrist bones,HP_0004232,20.26972567925269
Turned upper front teeth,Turned upper front teeth,HP_0006330,22.97532411849808
"Hyperkeratosis, diffuse palmoplantar","Hyperkeratosis, diffuse palmoplantar",HP_0007447,26.546290583487558
Aplastic/hypoplastic halluces,Aplastic/hypoplastic halluces,HP_0008362,24.432821186457257
Partial or complete syndactyly 3rd-4th fingers,Partial syndactyly,HP_0006101,20.510221037671982
Hypoplastic fifth finger middle phalanx,Hypoplastic fifth finger middle phalanx,HP_0004220,17.832303315654176
Malformation of the chin,Malformation of the chin,HP_0000306,21.641990183988092
Sixth nerve palsy,Sixth nerve palsy,HP_0006897,26.60690052034592
Abnormal UDP-glucose 4-epimerase level in RBCs,Abnormal UDP-glucose 4-epimerase level in RBCs,HP_0410196,24.133287241136905
Decreased width of nasal ridge,Decreased width of nasal ridge,HP_0000418,20.566401755446805
Abnormality of bone mineralization of skull,Abnormality of bone mineralization of skull,HP_0002703,18.228069944255783
Decreased length of bridge of nose,Decreased length of bridge of nose,HP_0003194,21.169377537162188
Posterior auricular pit,Posterior auricular pit,HP_0004464,26.458432660573315
Hypoplasia of the primary palate bone,Hypoplasia of the primary palate bone,HP_0010650,18.688512184073502
Immunoglobulin E-mediated plant product allergy,Immunoglobulin E-mediated plant product allergy,HP_0410338,26.79448622776734
Agenesis of adult mandibular central incisor,Agenesis of adult mandibular central incisor,HP_0011048,23.11490640085285
Recurrent corneal ulcerations,Corneal ulcer,HP_0012804,23.653853868162322
Elevated serum creatinine,Elevated serum creatinine,HP_0003259,21.611801212250136
Abnormal curving of the cornea or lens of the eye,Abnormal curving of the cornea or lens of the eye,HP_0000483,21.986646734962257
Absent/small cerebrum,Small cerebrum,HP_0006872,22.415777686246138
"Cardiomyopathy, dilated","Cardiomyopathy, dilated",HP_0001644,23.9407647093599
Triangular shaped hand bones,Triangular shaped hand bones,HP_0009774,16.535056109707007
Missing eyebrows,Missing eyebrows,HP_0002223,21.024569116708122
Anti-delta/notch-like epidermal growth factor-related receptor antibody,Anti-delta/notch-like epidermal growth factor-related receptor antibody,HP_5000034,25.50683334842675
Asymmetry of tip of nose,Asymmetry of tip of nose,HP_0011831,22.529907071781746
Generalized tonic-clonic seizures without focal onset,Generalized tonic-clonic seizure without focal onset,HP_0025190,23.442569838550327
Abnormality of the little finger bone,Abnormality of the little finger,HP_0004207,14.475206606790243
Thyroid goitre,Thyroid goitre,HP_0000853,25.551254997421534
Wilms tumor,Wilms tumor,HP_0002667,26.509968951734002
Small middle finger phalanges,Small middle finger phalanges,HP_0009447,16.135204426818284
Partial anodontia of primary teeth,Anodontia,HP_0000674,25.472826507057093
Abnormality of spacing of incisors,Abnormal spaced incisors,HP_0040159,18.094215109546283
Vertical facial insufficiency,Vertical facial insufficiency,HP_0011219,23.197191746921288
Bifid terminal phalanx of the 5th finger,Bifid terminal phalanx of the 5th finger,HP_0009994,20.0605673184552
Aqueduct stenosis,Aqueduct stenosis,HP_0002410,25.241424360723563
Dental root hypoplasia,Dental root hypoplasia,HP_0006336,21.967009757937568
Problem paying attention,Problem paying attention,HP_0000736,31.289436187352024
Increased tendency to fractures,Increased tendency to fractures,HP_0002659,22.090245000665256
Melanocytic naevus,Melanocytic naevus,HP_0000995,29.96315723952697
Bowed shankbone,Bowed shankbone,HP_0002982,25.002371145013523
Hypoplastic calf muscles,Hypoplastic calf muscles,HP_0008962,20.290135710885306
Frequent respiratory infections,Frequent respiratory infections,HP_0002205,23.82084960671356
Retinal haemorrhage,Retinal haemorrhage,HP_0000573,21.794109387425607
Abnormal haemoglobin concentration,Haemoglobin H,HP_0011903,21.879415896379804
Decreased length of philtrum,Decreased length of philtrum,HP_0000322,21.359991064344545
Colonic diverticulosis,Colonic diverticulosis,HP_0002253,28.010184424345244
Absent forearms,Absent forearm,HP_0005632,18.76026599108065
Tracheal ectopic calcification,Tracheal ectopic calcification,HP_0002787,25.46558651912174
Bullous congenital ichthyosiform erythroderma,Bullous congenital ichthyosiform erythroderma,HP_0007475,29.360786664126888
Hypotonic seizure,Hypotonic seizure,HP_0010819,23.312671549586767
Abnormality of the hard palate,Abnormality of the hard palate,HP_0100737,20.65501543471825
Joint pain,Joint pain,HP_0002829,19.61134939286182
Abnormal circulating protein level,Abnormal circulating protein level,HP_0010876,16.64678035050286
Podocyte detachment,Podocyte detachment,HP_0033237,27.21376601821332
Large skull,Large skull,HP_0000256,20.037736005516184
Osteochondronecrosis,Osteochondronecrosis,HP_0010885,29.632634449492112
Renal failure,Renal failure,HP_0000083,19.494066493974014
Hunched back in infancy,Hunched back in infancy,HP_0008414,29.066931623638858
Abnormality of dental shade,Abnormality of dental shade,HP_0011073,21.614454287373096
"Ataxia, sensory","Ataxia, sensory",HP_0010871,25.176191124820292
Prominent nasal root,Prominent nasal root,HP_0000426,21.72781407062069
Increased serum parathyroid hormone,Increased serum parathyroid hormone,HP_0003165,21.31929237505413
Unequal sides of maxilla,Unequal sides of maxilla,HP_0010755,26.487937608638426
Reduced FVC,Reduced FVC,HP_0032341,25.210102906011485
Intracranial hypertension,Intracranial hypertension,HP_0002516,26.45882466944976
Renal C3 deposition,Renal C3 deposition,HP_0012576,25.268225539596983
Deformity of the upper lip vermillion,Deformity of the upper lip vermillion,HP_0011339,23.125814782751032
Hyperplasia of glabella,Hyperplasia of glabella,HP_0002057,25.241424360723563
Atretic external auditory canals,Atretic auditory canal,HP_0000413,26.59379340210886
Forked uvula,Forked uvula,HP_0000193,28.770930116415485
Hypoplastic or absent patella,Hypoplastic patellae,HP_0003065,21.94079780046986
Absent/small colon,Absent/small colon,HP_0100811,19.256448446388646
Cerebral oedema,Cerebral oedema,HP_0002181,22.14705147598012
Anonychia of toenails,Anonychia of toenails,HP_0001802,27.591525035070813
Chloasma,Chloasma,HP_0025272,29.632634449492112
Abnormality of musculature of facial expression,Abnormality of musculature of facial expression,HP_0430019,20.0570865191704
Partial/complete duplication of the phalanges of the hallux,Partial/complete duplication of the phalanges of the hallux,HP_0010066,20.226735666879783
Abnormality of the nasal alae,Abnormality of the nasal ala,HP_0000429,18.616197710482666
Stippling of the epiphyses of the thumb,Stippling of the epiphyses of the thumb,HP_0009695,20.425158573444648
Bullet-shaped phalanges of the hallux,Bullet-shaped phalanges of the hallux,HP_0010060,19.90654759948789
Abnormality of the middle bone of pinky finger,Abnormality of the middle bone of pinkie finger,HP_0004219,14.229866457679883
Reflex anoxic seizures,Reflex anoxic seizure,HP_0500173,25.036726307136995
Generalized spacing of teeth,Generalized spacing of teeth,HP_0000687,21.239054612075073
Middle ear malformation,Malformed ears,HP_0000377,19.821268330328678
Stereotypical motor behaviours,Stereotyped behaviour,HP_0000733,25.300797403620987
T-wave abnormalities,J wave,HP_0012272,21.879415896379804
Localized autonomic seizure with altered responsiveness,Localized autonomic seizure with altered responsiveness,HP_0032755,25.81601673599615
Abnormal zinc metabolism,Abnormal zinc metabolism,HP_0008277,22.097814390173834
Malposition of incisors,Malposition of incisors,HP_0011062,24.044307954658407
Small carpal bones,Small carpals,HP_0001498,19.104946249183044
Carpal fusion,Carpal fusion,HP_0009702,22.450181819745133
Abnormality of vaginal lips,Vaginitis,HP_0030683,22.538786265894167
Elevated creatine phosphokinase after exercise,Elevated creatine phosphokinase after exercise,HP_0008331,25.807201897249968
Excessive inward curvature of lower spine,Excessive inward curvature of lower spine,HP_0002938,25.946173548712274
Abnormal female genital system physiology,Abnormal female genital system physiology,HP_0030012,23.311117213898964
Autistic behaviors,Autistic behaviors,HP_0000729,26.64961975941538
Premature loss of adult teeth,Premature loss of adult teeth,HP_0006357,22.516245462645095
Recurrent middle ear infection,Recurrent ear infections,HP_0410018,20.641540302334352
Hypertrophy of facial bones,Hypertrophy of facial bones,HP_0005465,17.553175120038635
Abnormal teeth spacing,Abnormal teeth spacing,HP_0000692,17.809330866857685
Skin laxity,Skin laxity,HP_0000973,22.597685497672025
VSD,VSD,HP_0001629,25.181432253814638
Abdominal distension,Abdominal distension,HP_0003270,28.680523694897495
Broad outermost bone of the 5th toe,Broad 5th toe,HP_0100043,17.076800307839527
Decreased number of teeth,Decreased number of teeth,HP_0009804,19.091173206823974
Sternal ossification center abnormalities,Sternal ossification center abnormalities,HP_0011863,22.531242853382338
Agenesis of the maxilla,Agenesis of the maxilla,HP_0010667,22.40216755625454
Cone rod dystrophy,Rod cone dystrophy,HP_0000510,26.109460459304852
Upper eyelid oedema,Eyelid oedema,HP_0100540,21.479590607998496
"Foot, talipes equinovarus",Talipes equinovarus,HP_0001762,29.776861958502607
Hyperostosis of skull,Hyperostosis of skull,HP_0004330,23.134264972077652
Neoplasm of the nasopharynx,Neoplasm of the nasopharynx,HP_0100630,25.602713074325607
Narrowing of the esophagus,Narrowing of the esophagus,HP_0010450,23.065485362993517
2 vessel umbilical cord,2 vessel umbilical cord,HP_0001195,24.555863213356456
Cerebral lesion,Cerebral lesion,HP_0002060,22.390868797027057
Abnormality of the anterior segment of the globe,Abnormality of the anterior segment of the globe,HP_0004328,21.494161524802948
Limited joint motion,Limited joint motion,HP_0001376,24.42710730328637
Codfish vertebrae,Codfish vertebrae,HP_0004586,27.4374342543436
Elevated serum creatine kinase,Elevated creatine kinase,HP_0003236,23.102329935057178
Increased laxity of wrists,Increased laxity of wrists,HP_0005072,22.47500534578502
Tympanic nerve tumours,Tympanic nerve tumour,HP_0006715,24.51370635366013
Neuroendocrine tumour of the skin,Neuroendocrine tumour of the skin,HP_0030447,23.931116624504362
Genitourinary dysplasia,Genitourinary dysplasia,HP_0000119,25.2956200445758
Underdeveloped fingernail of pinkie finger,Underdeveloped fingernail,HP_0001804,20.810935949146703
Antimongoloid slant of palpebral fissures,Antimongoloid slant of palpebral fissures,HP_0000494,28.244143617805104
Tremor of limbs,Tremor,HP_0001337,21.27908332383776
Hypotonia early,Hypotonia early,HP_0008947,23.980021762732854
Autonomic visceral myopathy,Autonomic visceral myopathy,HP_0025149,29.352129890681503
Severe psychomotor retardation,Severe psychomotor retardation,HP_0011344,25.026314120077423
Imbalanced Hb synthesis,Imbalanced Hb synthesis,HP_0005560,31.13661165562163
Cognitive delay,Cognitive delay,HP_0001263,22.72097893057355
Hyperalbuminaemia,Hyperalbuminaemia,HP_0012117,29.632634449492112
Allergy to drugs,Allergy to drugs,HP_0410323,22.70616213111036
Hyperventilation triggered symptoms,Hyperventilation triggered symptoms,HP_0025218,25.605003745985044
Abnormality of equilibrium,Abnormality of equilibrium,HP_0002141,21.98733970770453
Mitral valve regurgitation,Mitral regurgitation,HP_0001653,27.787042976488298
Generalized-onset myoclonic-tonic-clonic seizure,Generalized-onset myoclonic-tonic-clonic seizure,HP_0032795,23.415045979306772
Short and narrow face,Narrow face,HP_0000275,19.83692436795404
Soft calvaria,Soft calvaria,HP_0005474,25.84165617957049
Increased waist-to-hip ratio,Increased waist-hip ratio,HP_0031819,24.45171337070595
Early tooth loss,Early tooth loss,HP_0006480,21.673096503902947
increased international normalised ratio,Increased international normalised ratio,HP_0008151,25.187782635503286
Abnormality of oral frenum,Abnormality of oral frenum,HP_0000190,21.009224917808545
Ocular anterior chamber abnormality,Ocular anterior chamber abnormality,HP_0000593,21.684302697622158
Renal tumors,Renal tumors,HP_0009726,19.527134216350134
Absent/small skeletal muscles,Absent/small skeletal muscles,HP_0001460,18.487737783072962
Tubulointerstitial nephropathy,Tubulointerstitial nephropathy,HP_0001969,28.527112795368552
Triangular end part of the middle bone of the pinkie toe,Triangular end part of the middle bone of the pinkie toe,HP_0100223,16.474944562623214
Agenesis of nasal cartilage,Agenesis of nasal cartilage,HP_0030028,21.55623370492205
Absent ossification of skull vault,Absent ossification of skull vault,HP_0005623,22.421942461292904
Deficiency of speech development,Deficiency of speech development,HP_0000750,22.25965689857355
Cerebellar hypoplasia/atrophy,Cerebellar atrophy,HP_0001272,21.59614112518338
Widened vestibular aqueduct,Widened vestibular aqueduct,HP_0011387,27.326215936721944
Ventricular extrasystoles,Ventricular extrasystoles,HP_0006682,27.526663391269807
Duplication of the innermost pinkie finger bone,Duplication of the innermost pinkie finger bone,HP_0009990,16.18363574668458
Secondary generalized tonic clonic seizures,Secondary generalized tonic clonic seizures,HP_0007334,23.092694101879367
Missing tongue,Missing tongue,HP_0012730,20.88930025353366
Short hands,Short hands,HP_0004279,16.64518872800791
Limb girdle weakness,Limb girdle weakness,HP_0003325,22.107895391187142
Absence of primary mandibular central incisor,Absence of primary mandibular central incisor,HP_0011047,22.0071826127528
Radiohumeral dislocation,Radiohumeral dislocation,HP_0003042,27.795389601535824
Limited armpit hair,Limited armpit hair,HP_0002215,26.067205907185684
Abnormality of the cerebellum,Abnormality of the cerebellum,HP_0001317,18.602436057382832
Swollen finger,Swollen finger,HP_0025131,20.17786592301005
Sub-macular hemorrhage,Sub-macular hemorrhage,HP_0025582,26.336278169157296
