query_name,hp_desc,hp_id,score
Liver fibrosis,Liver fibrosis,HP_0001395,23.71354705715456
Hepatic fibrosis,Hepatic fibrosis,HP_0001395,24.282407721159753
Portal tract fibrosis,Portal fibrosis,HP_0006580,26.451651497173145
Fibrosis of the liver,Liver fibrosis,HP_0001395,23.71354705715456
Fibrotic liver disease,Liver disease,HP_0001392,20.71595157428507
FXIII A deficiency,Maxillary deficiency,HP_0000327,9.96710175941162
Factor 13A deficiency,Factor V deficiency,HP_0003225,21.22404291544246
Coagulation factor XIII A chain deficiency,Factor V deficiency,HP_0003225,21.22404291544246
Fibrin stabilizing factor A subunit deficiency,Factor V deficiency,HP_0003225,21.22404291544246
Factor XIII-A deficiency,Factor V deficiency,HP_0003225,21.22404291544246
Total Anomalous Pulmonary Venous Return,Total anomalous pulmonary venous return,HP_0005160,27.22947502485257
Total Anomalous Pulmonary Venous Drainage,Total anomalous pulmonary venous drainage,HP_0005160,27.030281276221263
Total Anomalous Pulmonary Venous Connection to the Heart,Total anomalous pulmonary venous connection,HP_0005160,25.41885249885409
Complete Anomalous Pulmonary Venous Connection,Total anomalous pulmonary venous connection,HP_0005160,20.214904887501252
Total Anomalous Pulmonary Venous Connection Disorder,Total anomalous pulmonary venous connection,HP_0005160,25.41885249885409
Metatarsal bone dissolution,Duplication of metatarsal bones,HP_0001449,11.31673577742363
Metatarsal bone resorption,Increased bone resorption,HP_0002797,14.016365914256061
Osteolysis of metatarsal bones,Metatarsal osteolysis,HP_0001473,24.18385061685575
Metatarsal bone degeneration,Duplication of metatarsal bones,HP_0001449,11.31673577742363
Dissolution of metatarsal bones,Duplication of metatarsal bones,HP_0001449,11.31673577742363
Bracket-shaped epiphysis of the proximal phalanx of the third finger,Bracket epiphysis of the proximal phalanx of the thumb,HP_0009665,14.835647900354514
Abnormal epiphysis of the proximal phalanx of the 3rd digit,Abnormality of digit,HP_0011297,15.864331617364243
Bracket epiphysis of the proximal bone segment of the third finger,Bracket proximal epiphysis of the ring finger,HP_0009262,14.57070966745337
Bracket-shaped end of the proximal phalanx of the 3rd finger,Bracket epiphysis of the proximal phalanx of the 3rd finger,HP_0009347,14.861204875052074
Abnormal growth plate of the proximal phalanx of the third finger,Abnormal growth,HP_0001507,15.59251919777557
Curvature of the distal tibia,Bowing of the distal tibia,HP_0006414,14.661590864444346
Bowing of the lower tibia,Bowed tibia,HP_0002982,24.330341140173033
Distal tibial curvature,Distal tibial bowing,HP_0006414,14.61979199575672
Lower tibial bowing,Tibial bowing,HP_0002982,24.2706479511808
Bent distal tibia,Bent penis,HP_6000085,16.946744401328516
Abnormal posterior pituitary location,Abnormality of the posterior pituitary,HP_0011751,18.810513886956578
Misplaced posterior pituitary,Abnormality of the posterior pituitary,HP_0011751,15.280945692064993
Dislocated posterior pituitary,Abnormality of the posterior pituitary,HP_0011751,15.280945692064993
Erroneously positioned posterior pituitary,Abnormality of the posterior pituitary,HP_0011751,15.280945692064993
Posterior pituitary in incorrect location,Abnormality of the posterior pituitary,HP_0011751,15.280945692064993
Close esotropia,Esotropia,HP_0000565,24.060042503058682
Proximate esotropia,Esotropia,HP_0000565,24.060042503058682
Adjacent esotropia,Esotropia,HP_0000565,24.060042503058682
Immediate esotropia,Esotropia,HP_0000565,24.060042503058682
Neighboring esotropia,Esotropia,HP_0000565,24.060042503058682
Underdevelopment/absence of the spinal column,Underdeveloped spinal processes,HP_0008460,13.892369643743834
Vertebral column aplasia/hypoplasia,Vertebral hypoplasia,HP_0008417,18.947519205891787
Spine aplasia or hypoplasia,Aplasia/Hypoplasia of the cervical spine,HP_0011041,15.567721282032018
Underdeveloped or absent vertebral column,Absent/underdeveloped vertebral column,HP_0008518,22.064770263374484
Aplasia or hypoplasia of the spine,Aplasia/Hypoplasia of the cervical spine,HP_0011041,15.567721282032018
Advancing peripheral muscle weakness,Muscle weakness,HP_0001324,17.912294342457884
Gradual weakening of distal muscles,Gradual onset,HP_0003587,16.946744401328516
Progressive weakening of outer muscles,Progressive,HP_0003676,18.152155581229202
Continual distal muscle fatigue,Fatigue,HP_0012378,24.917834088058868
Ongoing weakness in extremity muscles,Muscle weakness,HP_0001324,17.912294342457884
Rough hair,Rough hair texture,HP_0002208,17.754511465642263
Thick hair,Thick hair,HP_0100874,20.466267716125497
Unrefined hair,Abnormality of the hair,HP_0001595,9.504907095844631
Crude hair,Abnormality of the hair,HP_0001595,9.504907095844631
Brutish hair,Abnormality of the hair,HP_0001595,9.504907095844631
Bedsores,Bedsore,HP_0012399,29.632634449492112
Decubitus ulcers,Decubitus Ulcer,HP_0012399,29.321840467212233
Pressure sores,Pressure Sore,HP_0012399,26.170449985689537
Skin ulcers,Skin ulcer,HP_0200042,21.103847782799114
Pressure injuries,Self injury,HP_0100716,14.250375411096197
Bent end bone of the third toe,Bent penis,HP_6000085,16.946744401328516
Curved terminal phalanx of the third toe,Curved toe phalanx,HP_0010176,16.412679150803736
Bowed distal phalanx of the 3rd toe,Distal,HP_0012839,14.0733722394854
Distorted distal phalanx of the third toe,Distortion of face,HP_0001999,14.567772593093935
Twisted end bone of the 3rd toe,Abnormality of the bones of the 3rd toe,HP_0010330,10.905961824405988
Digestive tract motility disorder,Obstruction in digestive tract,HP_0004796,17.579853029302704
Impaired gastrointestinal motility,Abnormal gastrointestinal motility,HP_0030895,17.68178040099422
Abnormal gut motility,Gut malrotation,HP_0002566,16.305427629013778
Gastrointestinal motility dysfunction,Abnormal gastrointestinal motility,HP_0030895,17.68178040099422
Disordered gastrointestinal movement,Movement disorder,HP_0100022,21.494321342259347
Irregular intestinal smooth muscle structure,Issue with muscle structure,HP_0011805,14.461326929653985
Unusual intestinal smooth muscle formation,Abnormality of intestinal smooth muscle morphology,HP_0030935,14.092747420477899
Atypical intestinal smooth muscle anatomy,Abnormality of intestinal smooth muscle morphology,HP_0030935,14.092747420477899
Aberrant intestinal smooth muscle configuration,Aberrant thyroid,HP_0100028,15.209089365408673
Non-standard intestinal smooth muscle shape,Abnormality of intestinal smooth muscle morphology,HP_0030935,14.092747420477899
Irregular ventricular axis,Abnormal ventricular axis,HP_0033566,17.492438046604008
Unusual ventricular axis,Abnormal ventricular axis,HP_0033566,17.492438046604008
Atypical ventricular axis,Abnormal ventricular axis,HP_0033566,17.492438046604008
Non-standard ventricular axis,Abnormal ventricular axis,HP_0033566,17.492438046604008
Aberrant ventricular axis,Abnormal ventricular axis,HP_0033566,17.492438046604008
Blockage of carotid artery,Blockage of nose,HP_0001742,15.209089365408673
Carotid artery blockage,Blockage of nose,HP_0001742,15.209089365408673
Obstruction of carotid artery,Obstructed carotid artery,HP_0012474,23.493451766921037
Carotid artery stenosis,Carotid stenosis,HP_0100546,23.353018950336132
Carotid artery thrombosis,Arterial thrombosis,HP_0004420,22.249130878715984
Supernumerary scrotum,Supernumerary kidney,HP_0000075,12.88981074616633
Extra scrotum,Extra scrotum,HP_0030274,24.887816441060068
Additional scrotum,Additional cusp,HP_0033777,15.850406137723406
Secondary scrotum,Abnormality of the scrotum,HP_0000045,12.830117557174091
Tertiary scrotum,Tertiary hypothyroidism,HP_0008237,16.305427629013778
Increased blood linoleylcarnitine levels,Increased antibody level in blood,HP_0010702,12.024458193357034
High circulating linoleylcarnitine concentration,Elevated circulating linoleylcarnitine concentration,HP_0033484,17.03307274058516
Raised linoleylcarnitine levels in the bloodstream,Raised immunoglobulin levels,HP_0010702,15.563590896296777
Elevated blood linoleylcarnitine concentration,Elevated circulating linoleylcarnitine concentration,HP_0033484,17.14516616653653
High serum linoleylcarnitine levels,High serum testosterone level,HP_0030088,13.893630568005475
Reduced nasal nitric oxide,Decreased nasal nitric oxide,HP_0033036,21.388414403172245
Lowered nasal nitric oxide,Decreased nasal nitric oxide,HP_0033036,21.388414403172245
Diminished nasal nitric oxide,Decreased nasal nitric oxide,HP_0033036,21.388414403172245
Decreased NO in nose,No eyeball,HP_0000528,13.304787521958673
Reduced nitric oxide in nasal cavity,Decreased nasal nitric oxide,HP_0033036,21.388414403172245
Chronic myeloid leukemia,Myeloid leukemia,HP_0012324,25.936936816890533
Chronic granulocytic leukemia,Chronic leukemia,HP_0005558,22.87172930504114
Chronic myelocytic leukemia,Chronic myelocytic leukemia,HP_0005506,26.867200458517217
Chronic myelosis,Chronic,HP_0011010,18.196056303382797
Swimmer's ear,Swimmer's ear,HP_0410017,26.495186771465704
External ear infection,Abnormality of the external ear,HP_0000356,14.553452493998346
Outer ear inflammation,Abnormality of the outer ear,HP_0000356,15.800553391963582
Ear canal infection,Narrow ear canal,HP_0000402,14.647103062174642
Infective otitis externa,Otitis externa,HP_0410017,30.291576638785216
Reduced width of greater sciatic notch,Short greater sciatic notch,HP_0003185,21.491294910888644
Constricted greater sciatic notch,Short greater sciatic notch,HP_0003185,21.491294910888644
Small greater sciatic notch,Short greater sciatic notch,HP_0003185,21.491294910888644
Diminished greater sciatic notch,Short greater sciatic notch,HP_0003185,21.491294910888644
Tight greater sciatic notch,Short greater sciatic notch,HP_0003185,21.491294910888644
Obstructive jaundice,Jaundice,HP_0000952,26.167883661065325
Biliary obstruction,Biliary cirrhosis,HP_0002613,13.227617008441886
Cholestatic liver disease,Liver disease,HP_0001392,20.71595157428507
Congenital biliary atresia,Biliary atresia,HP_0005912,25.115078432231726
Hepatic ductular hypoplasia,Hepatitis,HP_0012115,19.920797387131458
Irregularity in blood catecholamine level,Catecholamine levels abnormal,HP_0012099,15.936246874325182
Disorder of circulating catecholamine concentration,Abnormality of circulating catecholamine level,HP_0012099,12.65330840831834
Anomaly in blood catecholamine level,Catecholamine levels abnormal,HP_0012099,15.936246874325182
Aberration of circulating catecholamine amount,Aberrant thyroid,HP_0100028,15.209089365408673
Disturbance in blood catecholamine concentration,Behavioral disturbances,HP_0000708,12.663470749643938
Conical epiphysis,Conical cornea,HP_0000563,13.868933780756624
Cone-like epiphysis,Cone-shaped epiphysis,HP_0010579,12.855384740989432
Epiphysis with conical shape,Conical cornea,HP_0000563,13.868933780756624
Epiphysis cone-shaped,Cone-shaped epiphysis,HP_0010579,18.193698704027636
Cone form epiphysis,X-linked form,HP_0001417,13.154037147491087
Conical epiphysis of the proximal phalanx of the second finger,Short proximal phalanx of the second finger,HP_0009597,14.375593698619074
