query_name,hp_desc,hp_id,score
Abcnrmality of bodyheivhm,,,-1.0
Mutliiycstic kidne dysplasii,,,-1.0
uMltzcystic dysplasit kideny,,,-1.0
Multicystci kidnecsz,,,-1.0
Muultiystic renal dysplatsia,Renal duplication,HP_0000075,9.322592893629906
Abonrmal vmorphoglogyp f femqale ijnterfaxl genitalia,Intersex genitalia,HP_0000062,12.131278744836777
Abrorality of efmale interall geniatlgia,,,-1.0
Functionial aznorality o pthesbladdcr,,,-1.0
Polor bladdqer funcetion,,,-1.0
mRecurrent urinary eractiefcsions,Urinary urgency,HP_0000012,10.193441755934009
Frewuent urinary lrtawn infections,Urinary tract infections,HP_0000010,14.179107210039192
Recurrenwt UTs,,,-1.0
Repexted bladdec inefctibos,,,-1.0
epeatewd ufinary rtact infactionse,,,-1.0
Urinary tracr ibnfetoins,Urinary urgency,HP_0000012,10.193441755934009
"jhianryi tract infectiosn, rceubrent",Urinary tract infections,HP_0000010,7.379084332407427
Neuhrogenik blradder,,,-1.0
iack ofl blaed rcontrolb due to nkrvous sjstem finjry,Seizures due to hypocalcemia,HP_0002199,8.137182427546817
kUriwkary urgency,Urinary urgency,HP_0000012,14.965272044361734
pvearactiev bladder,Neurogenic bladder,HP_0000011,11.763344299709615
Overactive bladder enyrdoms,Overactive bladder,HP_0000012,26.972433665118288
Uregncyf erquency synodome,,,-1.0
Hlpoplasia if the uteru,Hypoplastic uterus,HP_0000013,12.830117557174091
Hyoplastic uteurs,,,-1.0
Rdientaryouterus,,,-1.0
Scmall uterus,Hypoplastic uterus,HP_0000013,12.830117557174091
Undegeveloed tuerus,,,-1.0
lBadder ijdvertcculum,,,-1.0
Bladderd ivertfiucla,,,-1.0
Urinarqyh renention,,,-1.0
Inreasd opst-voidlesidual uerne voeume,,,-1.0
Noctria,,,-1.0
Nycturisa,,,-1.0
Urianryzhsitancy,,,-1.0
Dtfficulty with fojow,,,-1.0
Urxnry incontinnecu,,,-1.0
lBadder icontinenbc,,,-1.0
Lss forblawder control,Self-control,HP_0000734,14.401125785563783
Prostrtiiis,,,-1.0
Inflgmmation fz the prostaqte,,,-1.0
Male hypogondaism,Male hypogonadism,HP_0000026,12.51272037517635
Dccrease dfunctionb of male gxand,Male hypogonadism,HP_0000026,12.51272037517635
Azoosprmi,,,-1.0
Awsent sparm in semen,Absent sperm in semen,HP_0000027,11.86659241820597
Crrptowchidism,,,-1.0
Cryptohism,,,-1.0
Undescendje teastes,,,-1.0
Undescendez eestjis,,,-1.0
Tesitular atrophy,Testicular atrophy,HP_0000029,9.919883871636978
Testciular degeenraiionb,,,-1.0
Teficulargyonddoblastoma,,,-1.0
"Gonadobwasujtoma, male",Male hypogonadism,HP_0000026,12.51272037517635
Asbnojrmal male externla genditnila omrphology,Male hypogonadism,HP_0000026,12.51272037517635
Abnormalit yof maleiextcrnal genitalia,Intersex genitalia,HP_0000062,12.131278744836777
"Ambigupus heniltia, malb",,,-1.0
Aobiguousg enitalia in mekls,,,-1.0
Hydroceelfztestis,,,-1.0
Hfydrocele,,,-1.0
Testicular yhmdrocelje,Testicular degeneration,HP_0000029,13.154037147491087
Abnomraltestis mophology,,,-1.0
bAnjormallity of thet estihs,,,-1.0
Anomaly of th teses,Anomaly of the testes,HP_0000035,10.10734258175097
Abnvmal pxensi morphjology,,,-1.0
Abnormali of the pecnip,,,-1.0
Longp enijs,,,-1.0
Ennlared penis,Abnormality of the penis,HP_0000036,12.717092216108838
Abent externaggenialia,,,-1.0
Hypogonadoteopic hypgoovandim,,,-1.0
Hypogonadoptorphc hypovoandism,,,-1.0
Low gnadotropins (eecondmary hypogoadsim),Low T4,HP_0000821,9.147676667267696
Isolteedhypodoandotric hypogonadism,Hypogonadism,HP_0000135,24.677187816889948
Awnlormal scrotmu omrphoyogy,,,-1.0
Aibqnoamlity of thesscrotum,,,-1.0
Smallsrotum,,,-1.0
Hypoplastic rscrqtm,Hypoplastic uterus,HP_0000013,8.924384962271409
Sxrotal hppolasia,,,-1.0
mSalcer than ztyicalgrowth of scrotm,More active than typical,HP_0000752,6.556040804384115
yUnderdqveelopde scrotum,Abnormality of the scrotum,HP_0000045,12.830117557174091
Hipospadias,,,-1.0
Hpyospdaia,,,-1.0
Bifiw sctrotum,,,-1.0
Cleft of sccyrtoum,Cleft of scrotum,HP_0000048,9.948045121949026
Scrgtal csleft,,,-1.0
Shabl srotum,,,-1.0
Overrdign scrotmu,,,-1.0
Scrotu surroundslpebis,,,-1.0
Hypoplsatic ale externl geintalhia,,,-1.0
Hyoplatsci mal geitalia,Grand mal,HP_0002069,14.567772593093935
mall male extenral genitrjla,Male hypogonadism,HP_0000026,12.51272037517635
ondrdevelomped maleg enitaliab,,,-1.0
Macoorhcidism,,,-1.0
Lrage jtestirles,,,-1.0
Largezgtestis,,,-1.0
Miccropeins,,,-1.0
Shor pnis,,,-1.0
Smlal penic,,,-1.0
